页码,模块,核心内容,数据来源,关键字段或数据集,数据粒度,覆盖范围（脱敏后）,主要处理方法,脱敏处理,对外使用边界
1,数据体检与经营总览,规模、金额口径与数据质量,客户提供的POS账单多维度明细,账单号、结账日期、实收、应收、优惠、人数、品项明细,账单级+品项行级,连续约10个月；3万+账单；20万+品项行,金额恒等式校验、字段完整率统计、经营KPI汇总,品牌/门店编号化；日期平移；金额和业务量固定系数扰动,仅用于展示分析框架；不得反推客户真实经营规模
2,趋势分解,营收、客流与客单价量价拆解,POS账单明细按月聚合,结账日期、账单数、实收金额、客单价,月度,连续约10个月,以首个完整月为100构建营收/客流/客单指数,绝对值扰动；指数与相对变化保留,可用于展示趋势判断，不用于外部业绩比较
3,周节律与日序列,工作日与周末峰谷及移动平均,POS账单明细按日聚合,营业日、星期、日账单数、日实收金额,日级,连续300+营业日,7日移动平均、星期分层均值、峰谷倍数,日期整体平移；金额与业务量同比例扰动,保留周期形态，不披露真实日期与规模
4,渠道结构,支付渠道集中度与月度构成,POS结算信息自由文本解析,结算信息、支付标签、支付笔数、支付金额,支付流水级+月度,8万+支付标签记录,渠道标签解析、金额占比、月度结构,品牌身份移除；金额/笔数扰动；占比保留,平台名称作为来源类型保留，不代表平台背书
5,菜单工程,SKU渗透率、营收贡献与长尾,POS品项明细,品项名称、品类、销量、实收、账单渗透率,SKU级,300+在售SKU,帕累托累计贡献、渗透率×贡献矩阵、长尾识别,全部菜品名称改为品项编号；金额/销量扰动,可展示方法与结构，不可识别真实菜单
6,价格带诊断,价格带供给与营收贡献错配,POS品项明细,品项售价、SKU数、品项实收,价格带级,7个价格带,按标价分箱，比较SKU占比与营收占比,价格与金额扰动；相对结构保留,价格带仅用于方法演示，不构成定价建议
7,时段矩阵,星期×小时需求、午晚市和包间效率,POS账单明细,星期、结账小时、实收、人数、区域、停留时长,星期×小时+区域,连续约10个月,日均营收热力矩阵、时段峰值、区域对比,日期/金额/客单扰动；区域保留为A/B/C/包间,可展示排班分析逻辑，不披露真实产能
8,客单分布,消费区间、分位数及客群结构,POS账单明细,账单实收、人数、区域、停留时长,账单级,3万+账单,直方图、分位数、区域客单与就餐人数结构,金额与业务量扰动；比例和分布形态保留,不用于推断真实品牌价格定位
9,折让治理,优惠、赠送、折扣与套餐渗透变化,POS账单及折让字段,应收、实收、优惠、赠送、非收入、套餐标记,账单级+月度,连续约10个月,折让率、赠送率、套餐渗透率月度趋势,绝对金额扰动；比率和方向保留,仅说明治理方法，不代表公开财务披露
10,组织力分析,员工客单、单量与折让差异,POS下单人与账单明细,员工ID、员工姓名、下单量、客单价、折让率、桌型,员工级,达到最低样本门槛的16个岗位样本,样本门槛筛选、分布比较、潜力情景测算,姓名/工号改为员工编号；金额/单量扰动,严禁用于真实员工识别、评价或人事决策
11,数据缺口,净利分析所需字段的可用率与补数路径,POS字段台账及完整率统计,成本价、会员手机号、出品部门、服务员、桌位、渠道、成本台账,字段级,59个源字段,非空率、业务影响、内部/外部补数分类,不输出任何手机号；仅保留字段级可用率,数据缺口属于样本状态，不代表行业平均
12,五层经营大脑,现有数据对预测、决策与验收层的支撑边界,前述POS分析与待补数据清单,POS、财务台账、会员私域、平台舆情、成本与组织字段,数据域级,四类数据域,按数据层/本体层/预测层/决策层/执行验收层映射,客户身份移除；规模扰动；缺口和能力边界保留,仅用于方案说明；净利结论需以客户真实财务数据重新建模
